# FIELD_NAME       	POSITION
GX_339-4           	17:02:49.40,-48.47.23.40
MAXIJ1810          	18:12:39.66,-22.19.25.0
MAXIJ1807          	18:08:07.549,+13.15.05.40
SwiftJ1727         	17:27:43.31,-16.12.19.23
Swift1753          	17:53:28.29,-01.27.06.22
GRS1915+105        	19:15:11.55,+10.56.44.80
1A1744             	17:48:13.17,-36.07.57.39
SwiftJ1518         	15:18:57.50,-57.21.48.70
MAXIJ1348          	13:48:12.52,-63.16.29.62
MAXIJ1631          	16:31:14.33,-47.48.21.25
MAXIJ1820+070      	18:20:22.04,+7.11.11.22
IGR J17091-3624    	257.282,-36.407
MAXI J1816-195     	274.218,-19.633
MAXI J1803-298     	270.762,-29.831
SAXJ1808.4-3658    	272.114,-36.979
SAXJ1810.8-2609    	272.685,-26.151
SwiftJ1842.5-1124  	280.572,-11.418
Swift J1858.6-0814 	284.646,-8.238
Vela X-1           	135.528,-40.554
XTE J1701-462      	255.243,-46.186
Swift J1728.9-3613 	262.244,-36.244
Aquila X-1         	287.817,0.585
Cen X-4            	224.591,-31.669
4U 1543-47         	236.785,-47.67
GRS 1739-278       	265.666,-27.748
Cir X-1            	230.171,-57.166
4U 1630-47         	248.507,-47.393
EXO 1846-031       	282.321,-3.062
H1743-322          	266.565,-32.234
MAXI J1631-479     	247.809,-47.808
